# NOAA-derived station slugs -- input for check_beach_coverage.py

Port Inland                              | port-inland                                   | MI   | USA                  | 9087096 | noaa-auto
Port Inland                              | port-inland-mi                                | MI   | USA                  | 9087096 | noaa-auto
Rock Cut                                 | rock                                          | MI   | USA                  | 9076024 | noaa-auto
Rock Cut                                 | rock-cut                                      | MI   | USA                  | 9076024 | noaa-auto
Rock Cut                                 | rock-cut-mi                                   | MI   | USA                  | 9076024 | noaa-auto
S.W. Pier, St. Marys River               | s-w-pier-st-marys                             | MI   | USA                  | 9076070 | noaa-auto
S.W. Pier, St. Marys River               | s-w-pier-st-marys-river                       | MI   | USA                  | 9076070 | noaa-auto
S.W. Pier, St. Marys River               | s-w-pier-st-marys-river-mi                    | MI   | USA                  | 9076070 | noaa-auto
West Neebish Island                      | west-neebish                                  | MI   | USA                  | 9076027 | noaa-auto
West Neebish Island                      | west-neebish-island                           | MI   | USA                  | 9076027 | noaa-auto
West Neebish Island                      | west-neebish-island-mi                        | MI   | USA                  | 9076027 | noaa-auto
Duluth                                   | duluth                                        | MN   | USA                  | 9099064 | noaa-auto
Duluth                                   | duluth-mn                                     | MN   | USA                  | 9099064 | noaa-auto
Grand Marais, Lake Superior              | grand-marais-lake-superior                    | MN   | USA                  | 9099090 | noaa-auto
Grand Marais, Lake Superior              | grand-marais-lake-superior-mn                 | MN   | USA                  | 9099090 | noaa-auto
Bay Waveland Yacht Club                  | bay-waveland-yacht-club                       | MS   | USA                  | 8747437 | noaa-auto
Bay Waveland Yacht Club                  | bay-waveland-yacht-club-ms                    | MS   | USA                  | 8747437 | noaa-auto
Pascagoula NOAA Lab                      | pascagoula-noaa-lab                           | MS   | USA                  | 8741533 | noaa-auto
Pascagoula NOAA Lab                      | pascagoula-noaa-lab-ms                        | MS   | USA                  | 8741533 | noaa-auto
Beaufort, Duke Marine Lab                | beaufort-duke-marine-lab                      | NC   | USA                  | 8656483 | noaa-auto
Beaufort, Duke Marine Lab                | beaufort-duke-marine-lab-nc                   | NC   | USA                  | 8656483 | noaa-auto
Duck                                     | duck                                          | NC   | USA                  | 8651370 | noaa-auto
Duck                                     | duck-nc                                       | NC   | USA                  | 8651370 | noaa-auto
JENNETTE'S PIER                          | jennette-s                                    | NC   | USA                  | 8652226 | noaa-auto
JENNETTE'S PIER                          | jennette-s-pier                               | NC   | USA                  | 8652226 | noaa-auto
JENNETTE'S PIER                          | jennette-s-pier-nc                            | NC   | USA                  | 8652226 | noaa-auto
Oregon Inlet Marina                      | oregon-inlet-marina                           | NC   | USA                  | 8652587 | noaa-auto
Oregon Inlet Marina                      | oregon-inlet-marina-nc                        | NC   | USA                  | 8652587 | noaa-auto
USCG Station Hatteras                    | uscg-station-hatteras                         | NC   | USA                  | 8654467 | noaa-auto
USCG Station Hatteras                    | uscg-station-hatteras-nc                      | NC   | USA                  | 8654467 | noaa-auto
Wilmington                               | wilmington                                    | NC   | USA                  | 8658120 | noaa-auto
Wilmington                               | wilmington-nc                                 | NC   | USA                  | 8658120 | noaa-auto
Wrightsville Beach                       | wrightsville                                  | NC   | USA                  | 8658163 | noaa-auto
Wrightsville Beach                       | wrightsville-beach                            | NC   | USA                  | 8658163 | noaa-auto
Wrightsville Beach                       | wrightsville-beach-nc                         | NC   | USA                  | 8658163 | noaa-auto
Atlantic City                            | atlantic-city                                 | NJ   | USA                  | 8534720 | noaa-auto
Atlantic City                            | atlantic-city-nj                              | NJ   | USA                  | 8534720 | noaa-auto
Burlington, Delaware River               | burlington-delaware                           | NJ   | USA                  | 8539094 | noaa-auto
Burlington, Delaware River               | burlington-delaware-river                     | NJ   | USA                  | 8539094 | noaa-auto
